Date,Open,High,Low,Close,Adj Close,Volume
2024-04-19,15547.099609,15576.700195,15222.780273,15282.009766,15282.009766,5316010000
2024-04-22,15396.129883,15539.000000,15265.660156,15451.309570,15451.309570,4616730000
2024-04-23,15525.549805,15730.349609,15510.589844,15696.639648,15696.639648,4951670000
2024-04-24,15805.599609,15839.000000,15634.440430,15712.750000,15712.750000,4735870000
2024-04-25,15375.259766,15644.509766,15343.910156,15611.759766,15611.759766,4743640000
2024-04-26,15821.339844,15981.000000,15770.719727,15927.900391,15927.900391,4694400000
2024-04-29,16007.000000,16021.490234,15885.889648,15983.080078,15983.080078,4972520000
2024-04-30,15920.889648,15979.360352,15655.669922,15657.820313,15657.820313,5229400000
2024-05-01,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2024-05-02,15758.110352,15862.790039,15604.730469,15840.959961,15840.959961,4901610000
2024-05-03,16147.480469,16204.709961,16068.339844,16156.330078,16156.330078,4887310000
2024-05-06,16208.540039,16350.080078,16197.860352,16349.250000,16349.250000,4460130000
2024-05-07,16358.339844,16397.390625,16303.839844,16332.559570,16332.559570,5041870000
2024-05-08,16226.070313,16341.650391,16226.070313,16302.759766,16302.759766,4530190000
2024-05-09,16323.740234,16362.790039,16241.980469,16346.259766,16346.259766,4505120000
2024-05-10,16389.019531,16437.390625,16293.519531,16340.870117,16340.870117,4402110000
2024-05-13,16400.310547,16407.050781,16334.860352,16388.240234,16388.240234,4452750000
2024-05-14,16391.160156,16526.269531,16386.429688,16511.179688,16511.179688,7270240000
2024-05-15,16601.140625,16749.740234,16544.089844,16742.390625,16742.390625,8538990000
2024-05-16,16738.109375,16797.830078,16693.449219,16698.320313,16698.320313,11932600000
2024-05-17,16708.490234,16726.410156,16613.839844,16685.970703,16685.970703,9587280000
2024-05-20,16702.019531,16823.830078,16695.689453,16794.869141,16794.869141,6861320000
2024-05-21,16736.099609,16839.019531,16719.970703,16832.619141,16832.619141,6245090000
2024-05-22,16839.019531,16855.269531,16712.089844,16801.539063,16801.539063,7277340000
2024-05-23,16996.390625,16996.390625,16678.369141,16736.029297,16736.029297,7752800000
2024-05-24,16786.789063,16947.800781,16771.580078,16920.789063,16920.789063,5836040000
2024-05-28,16988.310547,17032.660156,16917.509766,17019.880859,17019.880859,6293380000
2024-05-29,16879.349609,16989.599609,16873.970703,16920.580078,16920.580078,6652480000
2024-05-30,16878.630859,16900.460938,16690.359375,16737.080078,16737.080078,6659290000
2024-05-31,16771.900391,16789.269531,16445.539063,16735.019531,16735.019531,6674090000
2024-06-03,16865.699219,16909.890625,16646.429688,16828.669922,16828.669922,5422040000
2024-06-04,16823.880859,16891.869141,16750.390625,16857.050781,16857.050781,4917350000
2024-06-05,16974.480469,17187.919922,16955.560547,17187.900391,17187.900391,5325000000
2024-06-06,17204.869141,17235.730469,17123.589844,17173.119141,17173.119141,4960580000
2024-06-07,17124.140625,17229.310547,17090.039063,17133.130859,17133.130859,4755650000
2024-06-10,17083.449219,17213.449219,17057.339844,17192.529297,17192.529297,5207110000
2024-06-11,17160.419922,17345.050781,17107.990234,17343.550781,17343.550781,5009220000
2024-06-12,17502.150391,17725.390625,17490.640625,17608.439453,17608.439453,5560630000
2024-06-13,17715.269531,17741.800781,17566.320313,17667.560547,17667.560547,4916020000
2024-06-14,17621.179688,17693.429688,17590.800781,17688.880859,17688.880859,4973820000
2024-06-17,17697.300781,17935.990234,17636.359375,17857.019531,17857.019531,6061200000
2024-06-18,17856.759766,17890.519531,17796.880859,17862.230469,17862.230469,5796180000
2024-06-20,17913.939453,17936.789063,17650.689453,17721.589844,17721.589844,6289300000
2024-06-21,17681.009766,17787.339844,17620.570313,17689.359375,17689.359375,8589160000
2024-06-24,17640.259766,17730.119141,17494.019531,17496.820313,17496.820313,5503210000
2024-06-25,17572.160156,17734.339844,17546.630859,17717.650391,17717.650391,4848280000
2024-06-26,17697.269531,17813.550781,17687.070313,17805.160156,17805.160156,5294310000
2024-06-27,17793.949219,17892.779297,17765.419922,17858.679688,17858.679688,5382060000
2024-06-28,17891.099609,18035.000000,17723.830078,17732.599609,17732.599609,8960940000
